,state,date,cases_confirmed,total_deaths,new_deaths,total_US_deaths,death_ratio,total_US_rec,approx_state_rec_total
0,California,1/22/20,0,0,0,0,0.0,0,0.0
1,California,1/23/20,0,0,0,0,0.0,0,0.0
2,California,1/24/20,0,0,0,0,0.0,0,0.0
3,California,1/25/20,0,0,0,0,0.0,0,0.0
4,California,1/26/20,2,0,0,0,0.0,0,0.0
5,California,1/27/20,2,0,0,0,0.0,0,0.0
6,California,1/28/20,2,0,0,0,0.0,0,0.0
7,California,1/29/20,2,0,0,0,0.0,0,0.0
8,California,1/30/20,2,0,0,0,0.0,0,0.0
9,California,1/31/20,3,0,0,0,0.0,0,0.0
10,California,2/1/20,3,0,0,0,0.0,0,0.0
11,California,2/2/20,3,0,0,0,0.0,0,0.0
12,California,2/3/20,6,0,0,0,0.0,0,0.0
13,California,2/4/20,6,0,0,0,0.0,0,0.0
14,California,2/5/20,6,0,0,0,0.0,0,0.0
15,California,2/6/20,6,0,0,0,0.0,0,0.0
16,California,2/7/20,6,0,0,0,0.0,0,0.0
17,California,2/8/20,6,0,0,0,0.0,0,0.0
18,California,2/9/20,6,0,0,0,0.0,3,0.0
19,California,2/10/20,6,0,0,0,0.0,3,0.0
20,California,2/11/20,7,0,0,0,0.0,3,0.0
21,California,2/12/20,7,0,0,0,0.0,3,0.0
22,California,2/13/20,8,0,0,0,0.0,3,0.0
23,California,2/14/20,8,0,0,0,0.0,3,0.0
24,California,2/15/20,8,0,0,0,0.0,3,0.0
25,California,2/16/20,8,0,0,0,0.0,3,0.0
